,Hotel_name,neg,pos,Avg_score,score
0,11 Cadogan Gardens,17.695121951219516,84.06097560975608,8.699999999999994,0.7894965907442332
1,1K Hotel,30.612857142857138,53.54857142857142,7.699999999999995,0.4283160815281187
2,25hours Hotel beim MuseumsQuartier,21.471144278606985,68.77810945273632,8.79999999999997,0.6878200862243566
3,41,4.227777777777778,74.55555555555556,9.599999999999998,0.9432935916542474
4,45 Park Lane Dorchester Collection,16.02,37.88,9.4,0.5770855332629357
5,88 Studios,35.901036269430065,59.8093264248705,8.400000000000023,0.39974183935130647
6,9Hotel Republique,15.113333333333339,76.67999999999999,8.800000000000006,0.802903842809946
7,A La Villa Madame,4.1000000000000005,83.85454545454544,8.799999999999999,0.9511058109280139
8,ABaC Restaurant Hotel Barcelona GL Monumento,69.45,59.875,8.799999999999999,-0.1599164926931107
9,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,23.737499999999997,59.06805555555555,8.10000000000001,0.5981330386324626
10,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,11.857142857142858,54.53333333333334,8.599999999999998,0.7825707300034929
11,AC Hotel Milano a Marriott Lifestyle Hotel,19.97826086956522,57.300000000000004,8.300000000000002,0.6513392518400486
12,AC Hotel Paris Porte Maillot by Marriott,18.023809523809522,55.30000000000001,8.5,0.6740721605097737
13,AC Hotel Sants a Marriott Lifestyle Hotel,27.860869565217396,72.43478260869566,8.0,0.6153661464585833
14,AC Hotel Victoria Suites a Marriott Lifestyle Hotel,20.571428571428573,62.49523809523811,8.599999999999998,0.6708320633953064
15,ADI Doria Grand Hotel,18.477777777777778,69.18222222222222,8.300000000000006,0.7329114737247848
16,ADI Hotel Poliziano Fiera,38.49148936170212,60.28297872340426,8.199999999999994,0.3614866057247734
17,ARCOTEL Kaiserwasser Superior,30.577272727272717,53.618181818181824,8.600000000000005,0.4297219396405564
18,ARCOTEL Wimberger,24.90869565217392,71.42173913043476,8.199999999999994,0.651244901686248
19,AZIMUT Hotel Vienna,25.59210526315789,59.33421052631579,8.199999999999994,0.568678759923715
20,Abba Garden,31.151063829787233,46.01276595744682,7.899999999999995,0.3229908443540184
21,Abba Sants,10.658823529411768,59.44117647058824,8.199999999999996,0.8206828302820385
