,Hotel_name,neg,pos,Avg_score,score
0,11 Cadogan Gardens,50.449999999999996,45.208333333333336,8.700000000000001,-0.11594470046082934
1,1K Hotel,65.36666666666667,46.27333333333333,7.700000000000002,-0.4126206598472844
2,25hours Hotel beim MuseumsQuartier,37.17121212121213,47.97878787878788,8.8,0.22525737383944905
3,41,90.83333333333333,53.666666666666664,9.6,-0.6925465838509317
4,45 Park Lane Dorchester Collection,59.599999999999994,82.30000000000001,9.4,0.27582017010935617
5,88 Studios,47.95,63.98999999999999,8.400000000000002,0.2506641662759804
6,9Hotel Republique,18.3,54.533333333333324,8.8,0.6644254278728605
7,A La Villa Madame,11.75,50.6,8.8,0.7677865612648221
8,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,31.01538461538462,52.88076923076923,8.099999999999996,0.41348461706305906
9,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,17.822222222222223,50.43333333333333,8.6,0.6466181978409341
10,AC Hotel Irla a Marriott Lifestyle Hotel,37.4,33.5,7.9,-0.11641791044776115
11,AC Hotel Milano a Marriott Lifestyle Hotel,11.388888888888886,37.77777777777778,8.299999999999999,0.698529411764706
12,AC Hotel Paris Porte Maillot by Marriott,11.09,40.10000000000001,8.5,0.7234413965087283
13,AC Hotel Sants a Marriott Lifestyle Hotel,10.283333333333333,27.833333333333332,8.0,0.6305389221556885
14,AC Hotel Victoria Suites a Marriott Lifestyle Hotel,54.574999999999996,39.825,8.6,-0.3703703703703702
15,ADI Doria Grand Hotel,28.094117647058823,38.911764705882355,8.299999999999999,0.2780045351473923
16,ADI Hotel Poliziano Fiera,45.864864864864856,52.71621621621622,8.199999999999994,0.12996667521148442
17,ARCOTEL Kaiserwasser Superior,43.76190476190476,38.46666666666666,8.599999999999998,-0.13765783609804416
18,ARCOTEL Wimberger,58.31818181818183,35.88181818181818,8.200000000000001,-0.6252850266024831
19,AZIMUT Hotel Vienna,37.50555555555556,39.96111111111111,8.2,0.0614486306130959
20,Abba Garden,50.33846153846154,47.48461538461538,7.900000000000001,-0.06010043738862795
21,Abba Sants,30.233333333333334,51.50000000000001,8.200000000000001,0.41294498381877026
22,Acad mie H tel Saint Germain,28.595238095238095,59.36190476190476,9.0,0.5182897481148725
23,Acca Palace,34.09583333333333,38.54166666666667,8.5,0.11535135135135151
24,Ace Hotel London Shoreditch,40.361764705882365,43.608823529411765,8.6,0.07445875767181467
25,Acevi Villarroel,62.36842105263157,30.618421052631586,7.800000000000005,-1.0369574559518686
26,Acta Atrium Palace,38.67826086956522,51.65652173913044,8.5,0.2512414779900682
27,Acta CITY47,37.3225,41.304999999999986,8.100000000000001,0.09641689868054688
28,Admiral Hotel,36.94,21.9,7.3,-0.6867579908675799
29,Adria Boutique Hotel,55.49130434782609,66.83043478260869,8.800000000000002,0.1696701580899095
30,Ako Suites Hotel,21.279999999999998,41.58,8.7,0.48821548821548827
31,Albus Hotel Amsterdam City Centre,20.92,47.4,8.2,0.5586497890295358
32,Alexandra Barcelona A DoubleTree by Hilton,114.97777777777775,26.27777777777778,8.299999999999999,-3.3754756871035925
33,Alma Barcelona GL,26.3625,61.2375,9.2,0.5695039804041642
34,Alma Boutique Hotel,28.458823529411774,60.33529411764706,8.700000000000001,0.5283221214780148
35,Aloft London Excel,42.9989247311828,36.470967741935496,8.700000000000012,-0.178990506515714
36,Am Spiegeln,77.675,33.725,8.3,-1.303187546330615
37,Amadi Panorama Hotel,27.72068965517241,56.417241379310354,8.400000000000004,0.508648615610293
38,Amadi Park Hotel,59.412499999999994,65.66250000000001,8.099999999999996,0.09518370454978128
39,Amarante Beau Manoir,61.2,40.459999999999994,7.200000000000001,-0.512605042016807
40,Amarante Champs Elys es,107.45000000000002,68.3125,7.700000000000001,-0.5729185727355903
41,Amba Hotel Charing Cross,28.25967741935484,64.03709677419354,9.300000000000002,0.5586983351384025
42,Amba Hotel Marble Arch,55.63380281690141,51.843661971831004,8.5,-0.0731071205411716
43,Ambassade Hotel,24.703030303030303,74.3090909090909,9.300000000000006,0.6675638202430471
44,Ambassadors Bloomsbury,31.066233766233765,43.1818181818182,7.899999999999989,0.2805714285714289
45,Amp re,27.171428571428574,64.81428571428572,8.799999999999999,0.5807802512673572
46,Amsterdam Canal Residence,55.75714285714285,46.07142857142857,8.299999999999999,-0.21023255813953484
47,Amsterdam Marriott Hotel,59.49374999999998,49.73333333333335,8.100000000000005,-0.19625502680965065
48,Andaz Amsterdam Prinsengracht A Hyatt Hotel,35.65,45.49999999999999,9.299999999999999,0.21648351648351638
49,Andaz London Liverpool Street,50.51219512195121,41.34390243902439,9.0,-0.22175682850569262
50,Andreola Central Hotel,34.93157894736842,47.6,8.3,0.2661432994250332
51,Antares Hotel Accademia,22.139999999999997,22.5,8.4,0.016000000000000132
52,Antares Hotel Rubens,31.254545454545454,61.23636363636364,8.5,0.48960807600950124
53,Antica Locanda Dei Mercanti,28.17777777777778,81.69999999999999,9.0,0.6551067591459268
54,Aparthotel Adagio Vienna City,39.8,50.133333333333326,8.099999999999996,0.20611702127659567
55,Aparthotel Arai 4 Superior,6.0,0.0,9.3,-inf
56,Aparthotel Atenea Barcelona,29.809999999999995,59.55999999999999,8.0,0.49949630624580255
57,Aparthotel Mariano Cubi Barcelona,68.84166666666665,31.274999999999995,8.299999999999999,-1.2011723954169997
58,Apex City Of London Hotel,29.8396551724138,47.83189655172413,9.0,0.37615571776155693
59,Apex London Wall Hotel,31.625714285714288,41.15142857142858,9.100000000000001,0.2314795528709298
60,Apex Temple Court Hotel,25.82647058823531,63.09019607843137,9.200000000000017,0.5906420934858276
61,Apollo Hotel Amsterdam,40.36813186813187,46.1,8.20000000000001,0.12433553431384235
62,Apollofirst Boutique Hotel,25.263333333333335,63.41333333333333,8.5,0.6016084945332211
63,Appartement Hotel an der Riemergasse,41.44444444444444,68.13333333333334,9.200000000000001,0.3917155903457274
64,Arbor City,28.814285714285717,49.75285714285715,8.899999999999988,0.4208516380968789
65,Arbor Hyde Park,49.03870967741936,51.69462365591398,8.399999999999986,0.05137698643813948
66,Arenas Atiram Hotels,14.779999999999998,22.36,7.5,0.33899821109123446
67,Arion Cityhotel Vienna und Appartements,34.82962962962963,24.40740740740741,8.099999999999996,-0.4270106221547799
68,Arioso,14.090909090909092,62.23636363636364,8.400000000000002,0.7735904177621968
69,Armani Hotel Milano,54.28333333333333,34.58333333333333,9.200000000000001,-0.5696385542168676
70,Art Hotel Navigli,46.44999999999999,41.95833333333332,8.599999999999998,-0.10705064548162864
