,Hotel_name,neg,pos,Avg_score,score
0,11 Cadogan Gardens,55.64117647058824,61.81764705882353,8.700000000000001,0.09991435912075357
1,1K Hotel,54.129999999999995,63.959999999999994,7.700000000000001,0.15368980612883051
2,25hours Hotel beim MuseumsQuartier,55.249999999999986,76.355,8.8,0.27640626023181214
3,88 Studios,66.83333333333333,47.33333333333334,8.399999999999999,-0.4119718309859151
4,9Hotel Republique,37.99285714285714,51.81428571428571,8.799999999999999,0.2667493796526054
5,A La Villa Madame,52.7,80.19999999999999,8.8,0.34289276807980035
6,ABaC Restaurant Hotel Barcelona GL Monumento,23.7,41.800000000000004,8.8,0.43301435406698574
7,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,103.87142857142858,45.82857142857142,8.1,-1.266521197007482
8,AC Hotel Irla a Marriott Lifestyle Hotel,74.65,12.799999999999999,7.9,-4.832031250000001
9,AC Hotel Milano a Marriott Lifestyle Hotel,22.333333333333332,43.36666666666667,8.3,0.4850115295926211
10,AC Hotel Paris Porte Maillot by Marriott,90.22,24.339999999999996,8.5,-2.706655710764174
11,AC Hotel Sants a Marriott Lifestyle Hotel,51.95,48.0375,8.0,-0.08144678636481918
12,AC Hotel Victoria Suites a Marriott Lifestyle Hotel,18.7,123.7,8.6,0.8488278092158448
13,ADI Doria Grand Hotel,40.58571428571428,72.67142857142858,8.299999999999999,0.4415175938667192
14,ADI Hotel Poliziano Fiera,103.84,46.519999999999996,8.2,-1.2321582115219263
15,ARCOTEL Kaiserwasser Superior,79.44999999999997,28.35,8.6,-1.802469135802468
16,ARCOTEL Wimberger,67.91666666666666,68.55,8.200000000000001,0.009238998298079358
17,AZIMUT Hotel Vienna,87.5,57.55,8.2,-0.5204170286707211
18,Abba Garden,45.574999999999996,27.15,7.9,-0.6786372007366481
19,Abba Sants,54.9,40.271428571428565,8.200000000000001,-0.3632493792124869
20,Acad mie H tel Saint Germain,47.42,46.94,9.0,-0.010225820195994972
21,Acca Palace,27.987499999999997,48.575,8.5,0.423829130211014
22,Ace Hotel London Shoreditch,56.84374999999999,50.3125,8.599999999999998,-0.12981366459627314
23,Acevi Villarroel,93.53749999999998,47.36666666666667,7.800000000000002,-0.9747536945812804
24,Acta Atrium Palace,72.4076923076923,73.37692307692308,8.5,0.013208931753852703
25,Acta CITY47,73.26666666666667,42.32500000000001,8.099999999999998,-0.731049419177003
26,Admiral Hotel,77.33333333333333,73.83333333333333,7.3,-0.04740406320541761
27,Adria Boutique Hotel,68.41818181818181,70.22727272727273,8.800000000000002,0.025760517799352994
28,Ako Suites Hotel,83.38181818181819,48.11818181818182,8.700000000000001,-0.7328547137729078
29,Albus Hotel Amsterdam City Centre,43.923076923076934,62.44615384615384,8.200000000000001,0.2966247844296622
30,Alexandra Barcelona A DoubleTree by Hilton,121.35999999999997,16.02,8.3,-6.575530586766541
31,Alma Barcelona GL,46.215384615384615,63.776923076923076,9.200000000000001,0.27535882281992524
32,Alma Boutique Hotel,68.3,85.00769230769232,8.700000000000001,0.19654329924893693
33,Aloft London Excel,50.07,34.7,8.7,-0.4429394812680114
34,Amadi Panorama Hotel,90.07419354838711,52.170967741935485,8.400000000000002,-0.7265195078216784
35,Amadi Park Hotel,63.938235294117646,52.9735294117647,8.099999999999998,-0.2069846205096886
36,Amarante Beau Manoir,63.01111111111111,48.527777777777764,7.200000000000001,-0.2984544934172872
37,Amarante Champs Elys es,77.68,58.739999999999995,7.7,-0.3224378617637047
38,Amba Hotel Charing Cross,58.050000000000004,100.91111111111111,9.300000000000002,0.424741246421493
39,Amba Hotel Marble Arch,56.115151515151524,48.78181818181818,8.5,-0.15032923344514867
40,Ambassade Hotel,39.709999999999994,52.06,9.299999999999999,0.23722627737226293
41,Ambassadors Bloomsbury,45.85087719298244,41.08596491228069,7.899999999999985,-0.11597420897561804
42,Amp re,30.575000000000003,39.6875,8.799999999999999,0.22960629921259834
43,Amsterdam Canal Residence,211.325,73.9,8.3,-1.859607577807848
44,Amsterdam Marriott Hotel,70.6875,38.9875,8.099999999999998,-0.8130811157422252
45,Andaz Amsterdam Prinsengracht A Hyatt Hotel,40.61000000000001,81.23,9.299999999999999,0.500061553613197
46,Andaz London Liverpool Street,60.68095238095238,59.780952380952385,9.0,-0.015054962561733169
47,Andreola Central Hotel,38.766666666666666,70.98333333333333,8.299999999999999,0.453862409016201
48,Antares Hotel Accademia,83.0,22.2,8.4,-2.7387387387387387
49,Antares Hotel Rubens,46.1,69.38888888888889,8.5,0.33562850280224177
50,Antica Locanda Dei Mercanti,89.2666666666667,133.03333333333333,9.0,0.3289902280130291
51,Aparthotel Adagio Vienna City,96.49166666666666,67.65833333333333,8.099999999999998,-0.42616085724842956
52,Aparthotel Arai 4 Superior,42.6875,93.96249999999999,9.299999999999999,0.5456964214447253
