,Hotel_name,neg,pos,Avg_score,score
0,11 Cadogan Gardens,50.16938775510203,58.048979591836726,8.699999999999994,0.13574040219378436
1,1K Hotel,61.56595744680852,43.41063829787234,7.699999999999993,-0.4182228103710241
2,25hours Hotel beim MuseumsQuartier,39.76062176165803,57.1036269430052,8.79999999999997,0.30371109699664306
3,41,51.044444444444444,36.355555555555554,9.6,-0.4040342298288509
4,45 Park Lane Dorchester Collection,59.599999999999994,82.30000000000001,9.4,0.27582017010935617
5,88 Studios,63.27142857142858,49.688819875776396,8.400000000000011,-0.27335341691771164
6,9Hotel Republique,35.279268292682914,48.965853658536574,8.799999999999992,0.2795128511655709
7,A La Villa Madame,19.919999999999998,67.85,8.799999999999999,0.7064112011790714
8,ABaC Restaurant Hotel Barcelona GL Monumento,108.3,60.9375,8.799999999999999,-0.7772307692307692
9,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,37.75576923076923,40.1875,8.100000000000014,0.06050963033855721
10,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,27.8,38.346666666666664,8.599999999999998,0.27503477051460357
11,AC Hotel Irla a Marriott Lifestyle Hotel,42.31666666666667,16.933333333333334,7.8999999999999995,-1.4990157480314963
12,AC Hotel Milano a Marriott Lifestyle Hotel,37.96315789473683,46.815789473684205,8.3,0.1890949971894324
13,AC Hotel Paris Porte Maillot by Marriott,43.83888888888889,46.099999999999994,8.5,0.049047963364666075
14,AC Hotel Sants a Marriott Lifestyle Hotel,31.652,38.68,8.0,0.18169596690796275
15,AC Hotel Victoria Suites a Marriott Lifestyle Hotel,85.75999999999999,67.86,8.6,-0.26377836722664294
16,ADI Doria Grand Hotel,38.1,49.49047619047619,8.300000000000006,0.23015491195997298
17,ADI Hotel Poliziano Fiera,56.588235294117645,59.779411764705884,8.199999999999996,0.053382533825338314
18,ARCOTEL Kaiserwasser Superior,61.78214285714285,34.86428571428571,8.599999999999996,-0.7720753943863965
19,ARCOTEL Wimberger,45.60980392156863,49.7470588235294,8.199999999999994,0.08316581924244196
20,AZIMUT Hotel Vienna,51.05,37.945000000000014,8.199999999999994,-0.34536829621820997
21,Abba Garden,50.31250000000001,31.13125000000001,7.900000000000004,-0.6161413370809072
22,Abba Sants,45.98437499999998,50.28125,8.199999999999996,0.08545680546923598
23,Acad mie H tel Saint Germain,34.922499999999985,65.06874999999995,9.0,0.46329843434828527
24,Acca Palace,51.70526315789473,55.123684210526314,8.5,0.06201365350646885
25,Ace Hotel London Shoreditch,47.38108108108109,47.81689189189188,8.599999999999994,0.009114160154869547
26,Acevi Villarroel,66.22786885245901,38.6311475409836,7.799999999999984,-0.7143645236579675
27,Acta Atrium Palace,49.49932432432431,53.99729729729731,8.5,0.08329996496321176
28,Acta CITY47,38.416793893129736,46.44274809160305,8.100000000000012,0.17281393819855428
29,Admiral Hotel,44.27000000000001,62.410000000000004,7.299999999999999,0.29065854830956567
30,Adria Boutique Hotel,46.79230769230768,56.1602564102564,8.799999999999994,0.16680744207282283
31,Ako Suites Hotel,48.973529411764716,48.53823529411765,8.699999999999996,-0.008968066412167672
32,Albus Hotel Amsterdam City Centre,47.902531645569624,49.778481012658226,8.200000000000005,0.03768595041322302
33,Alexandra Barcelona A DoubleTree by Hilton,67.90571428571428,34.21142857142857,8.300000000000004,-0.9848839151494906
34,Alma Barcelona GL,28.872000000000007,58.470000000000006,9.199999999999992,0.5062083119548486
35,Alma Boutique Hotel,42.43783783783784,74.8810810810811,8.699999999999994,0.43326355302100644
36,Aloft London Excel,49.561410788381764,42.753112033195016,8.700000000000028,-0.1592468578638333
37,Am Spiegeln,57.6,37.233333333333334,8.3,-0.5470008952551477
38,Amadi Panorama Hotel,58.75078124999999,46.433593749999986,8.39999999999999,-0.26526457474552045
39,Amadi Park Hotel,42.536809815950896,49.19018404907975,8.09999999999999,0.13525816911948152
40,Amarante Beau Manoir,61.93043478260871,38.40434782608696,7.199999999999992,-0.6125891543077098
41,Amarante Champs Elys es,61.948387096774205,55.64516129032259,7.699999999999996,-0.11327536231884058
42,Amba Hotel Charing Cross,36.97898089171972,64.85095541401269,9.299999999999974,0.4297851025379114
43,Amba Hotel Marble Arch,44.00520833333338,37.88993055555552,8.5,-0.1613958560523468
44,Ambassade Hotel,28.809433962264144,59.72358490566037,9.299999999999983,0.5176204843066328
45,Ambassadors Bloomsbury,40.222309711286165,40.330183727034125,7.900000000000054,0.0026747712452311486
46,Amp re,30.612500000000004,45.53000000000001,8.800000000000006,0.3276411157478586
47,Amsterdam Canal Residence,70.23703703703706,53.74074074074074,8.300000000000004,-0.3069607167470713
48,Amsterdam Marriott Hotel,44.53985507246375,37.40217391304348,8.100000000000007,-0.1908359972876098
49,Andaz Amsterdam Prinsengracht A Hyatt Hotel,42.75777777777778,57.5911111111111,9.300000000000008,0.25756289550856587
50,Andaz London Liverpool Street,43.011347517730506,48.564539007092186,9.0,0.11434663239675172
51,Andreola Central Hotel,54.985106382978735,50.62553191489361,8.300000000000006,-0.08611414642346855
52,Antares Hotel Accademia,72.46666666666667,44.699999999999996,8.4,-0.621178225205071
53,Antares Hotel Rubens,36.228,49.052,8.5,0.2614368425344532
54,Antica Locanda Dei Mercanti,48.66428571428572,91.95,9.0,0.470752738289443
55,Aparthotel Adagio Vienna City,58.1158415841584,50.88316831683167,8.100000000000014,-0.14214274595267748
56,Aparthotel Arai 4 Superior,39.56666666666666,68.68148148148147,9.300000000000004,0.4239106988783434
57,Aparthotel Atenea Barcelona,43.172,62.95800000000001,8.0,0.31427300740176006
58,Aparthotel Mariano Cubi Barcelona,66.72083333333335,42.84166666666667,8.300000000000002,-0.557381832328341
59,Apex City Of London Hotel,42.94114583333333,52.39322916666665,9.0,0.18040658084397812
