score,sentiment,word
12.8,1,boutiques
12.8,1,cheerful
12.8,1,eurostar
12.7,1,proximity
12.7,1,arty
12.7,1,danube
12.7,1,attentive
12.6,1,village
12.6,1,holborn
12.6,1,vibes
12.6,1,andre
12.6,1,blanche
12.6,1,ziggo
12.6,1,celebrated
12.5,1,mod
12.5,1,stones
12.4,1,quirky
12.3,1,passeig
12.3,1,nord
12.3,1,personalized
12.3,1,adored
12.3,1,commended
12.3,1,uniqueness
12.3,1,oozes
12.3,1,brera
12.3,1,cozy
12.2,1,hammersmith
12.2,1,convenient
12.2,1,brilliantly
12.2,1,brownie
12.2,1,petals
12.2,1,gardens
12.1,1,waterfront
12.1,1,bustle
12.1,1,thumbs
12.1,1,calm
11.9,1,wonderland
11.9,1,cricket
11.9,1,calming
11.8,1,unique
11.8,1,etoile
11.8,1,convient
11.8,1,palais
11.8,1,daniel
11.7,1,palaces
11.7,1,epic
11.7,1,comfty
11.7,1,elena
11.7,1,corteous
11.7,1,vosges
11.7,1,luxuriously
11.7,1,superbe
11.7,1,trevor
11.7,1,roberto
11.7,1,roland
11.7,1,kew
11.7,1,proseco
11.7,1,batobus
11.6,1,vibe
11.6,1,handy
11.6,1,neat
11.6,1,convent
11.5,1,gare
11.5,1,paddington
11.5,1,panoramic
11.5,1,palace
11.5,1,ben
11.4,1,harvey
11.4,1,germaine
11.4,1,attentative
11.4,1,exploring
11.3,1,gothic
11.3,1,landmarks
11.3,1,doormen
11.3,1,liverpool
11.3,1,eixample
11.3,1,leicester
11.2,1,decorated
11.2,1,supermarkets
11.2,1,hermes
11.2,1,quiet
11.2,1,homely
11.1,1,memorable
11.1,1,nicely
11.0,1,transportations
11.0,1,katherine
11.0,1,adam
11.0,1,es
11.0,1,prudential
11.0,1,civilised
11.0,1,antoine
11.0,1,pedrera
11.0,1,barbican
11.0,1,centered
11.0,1,brillant
11.0,1,jardins
11.0,1,fatima
11.0,1,spaceous
11.0,1,supremely
11.0,1,priceless
11.0,1,loction
11.0,1,espana
11.0,1,lovation
11.0,1,friendy
11.0,1,execellent
11.0,1,chino
11.0,1,du
11.0,1,loved
10.9,1,elegance
10.9,1,recommendations
10.9,1,incredible
10.8,1,baker
10.8,1,comfortable
10.8,1,champ
10.8,1,hop
10.7,1,sch
10.7,1,pampered
10.7,1,doorstep
10.7,1,stephen
10.7,1,triumph
10.7,1,sarah
10.6,1,quaint
10.6,1,appointed
10.6,1,effortless
10.6,1,cookies
10.6,1,camden
10.6,1,kensington
10.5,1,angel
10.4,1,designs
10.4,1,marc
10.4,1,fountains
10.4,1,swans
10.4,1,bubbly
10.4,1,nou
10.3,1,fitzrovia
10.3,1,uniquely
10.3,1,loaction
10.3,1,graham
10.3,1,harrod
10.3,1,newness
10.3,1,panelled
10.3,1,moden
10.3,1,tailor
10.3,1,loaned
10.3,1,scrupulously
10.3,1,lage
10.3,1,montmatre
10.3,1,norte
10.3,1,remembers
10.3,1,gabriel
10.3,1,naval
10.3,1,unparalleled
10.3,1,comfey
10.3,1,primrose
10.3,1,kristine
10.3,1,boris
10.3,1,casa
10.3,1,bastille
10.3,1,innovative
10.3,1,efficient
10.2,1,thankyou
10.2,1,jean
10.2,1,tina
10.2,1,museumplein
10.2,1,cake
10.2,1,heart
10.1,1,soho
10.1,1,hallen
10.1,1,temple
10.1,1,hosts
10.1,1,monuments
10.1,1,montparnasse
10.1,1,tidy
10.1,1,embankment
10.1,1,chocolates
10.0,1,moulin
10.0,1,saint
10.0,1,kindness
10.0,1,polite
9.9,1,fireplace
9.9,1,iconic
9.9,1,bercy
9.9,1,professional
9.9,1,circus
9.9,1,knowledgable
9.9,1,carrefour
9.9,1,shepherds
9.9,1,touches
9.9,1,simplicity
9.9,1,gaulle
9.9,1,locatio
9.8,1,ideally
9.8,1,roomy
9.8,1,guell
9.8,1,opulence
9.8,1,bakerloo
9.8,1,locatin
9.8,1,outstandingly
9.8,1,delighted
9.8,1,ambience
9.7,1,attractions
9.7,1,localisation
9.7,1,andrew
9.7,1,arenas
9.7,1,simon
9.7,1,gar
9.7,1,melanie
9.7,1,nestled
9.7,1,amy
9.7,1,diets
9.7,1,velodrome
9.7,1,pol
9.7,1,attentions
9.7,1,ecellent
9.7,1,drury
9.7,1,hbf
9.7,1,amaizing
9.7,1,comfortabel
9.6,1,walkable
9.6,1,marina
9.6,1,stations
9.5,1,great
9.5,1,russell
9.5,1,victoria
9.4,1,plentiful
9.4,1,cathedral
9.4,1,westminster
9.4,1,upbeat
9.4,1,comftable
9.4,1,gunnersbury
9.4,1,hydepark
9.4,1,olympia
9.3,1,greenwich
9.3,1,hustle
9.3,1,porte
9.3,1,jewel
9.3,1,highly
9.3,1,architecture
9.2,1,chinatown
9.2,1,broadway
9.1,1,ease
9.1,1,thames
9.0,1,funky
9.0,1,suburb
9.0,1,parc
9.0,1,belvedere
9.0,1,comfertable
9.0,1,lee
9.0,1,joanna
9.0,1,catacombs
9.0,1,thx
9.0,1,hussle
9.0,1,savory
9.0,1,chapel
9.0,1,neighbourhoods
9.0,1,montaigne
9.0,1,garros
9.0,1,lily
9.0,1,kevin
9.0,1,alina
9.0,1,squares
9.0,1,swan
9.0,1,attentitive
9.0,1,andrea
9.0,1,helpul
9.0,1,plesant
9.0,1,neuf
9.0,1,strolling
9.0,1,literie
9.0,1,orient
9.0,1,tussauds
9.0,1,mountains
9.0,1,mike
9.0,1,fantasic
9.0,1,macs
9.0,1,stunningly
9.0,1,vic
9.0,1,shoping
8.9,1,dome
8.9,1,favourite
8.9,1,hesitate
8.9,1,arena
8.9,1,grocery
8.8,1,anna
8.8,1,excel
8.8,1,convenience
8.8,1,winner
8.8,1,thoughtfully
8.8,1,zoo
8.7,1,mall
8.7,1,ealing
8.7,1,ambiance
8.7,1,explore
8.7,1,super
8.6,1,charing
8.6,1,marais
8.6,1,easy
8.6,1,pharmacies
8.6,1,barceloneta
8.6,1,compfy
8.6,1,olde
8.6,1,thomas
8.6,1,laura
8.6,1,clot
8.5,1,dream
8.5,1,caring
8.5,1,gallery
8.5,1,ramblas
8.5,1,personalised
8.5,1,gogh
8.5,1,heathrow
8.5,1,alexandra
8.4,1,goodies
8.4,1,gifts
8.4,1,madame
8.4,1,humor
8.4,1,arrondissement
8.4,1,informative
8.4,1,shops
8.4,1,ample
8.4,1,comfiest
8.4,1,die
8.4,1,exemplary
8.3,1,effecient
8.3,1,excelled
8.3,1,louis
8.3,1,multicultural
8.3,1,scrummy
8.3,1,mundet
8.3,1,quintessential
8.3,1,benjamin
8.3,1,fingertips
8.3,1,vanessa
8.3,1,xenia
8.3,1,chez
8.3,1,rijks
8.3,1,solicitous
8.3,1,vell
8.3,1,praterstern
8.3,1,brill
8.3,1,exploration
8.3,1,districts
8.3,1,strasse
8.3,1,bilingual
8.3,1,doumo
8.3,1,angelina
8.3,1,satff
8.3,1,competitively
8.3,1,barrio
8.3,1,individuality
8.3,1,jacques
8.3,1,shepard
8.3,1,joseph
8.3,1,westfields
8.3,1,paradise
8.3,1,stadium
8.3,1,concerts
8.3,1,shepherd
8.3,1,golden
8.3,1,welcoming
8.3,1,extraordinary
8.2,1,earl
8.2,1,tottenham
8.2,1,knowledgeable
8.2,1,quartier
8.2,1,heaven
8.2,1,rambla
8.2,1,madeline
8.2,1,jose
8.2,1,julia
8.2,1,picasso
8.2,1,gd
8.2,1,treasure
8.2,1,smily
8.2,1,robert
8.2,1,lebanese
8.1,1,latino
8.1,1,miguel
8.1,1,theatre
8.1,1,clean
8.1,1,maria
8.1,1,teddy
8.1,1,lidl
8.1,1,pleasure
8.1,1,array
8.0,1,metro
8.0,1,las
8.0,1,court
8.0,1,lyon
7.9,1,bush
7.9,1,tranquil
7.9,1,distance
7.9,1,james
7.9,1,closeby
7.9,1,strawberries
7.9,1,beatiful
7.9,1,science
7.9,1,perfect
7.9,1,claudia
7.9,1,swift
7.8,1,cheery
7.8,1,globe
7.8,1,helpfully
7.8,1,love
7.8,1,confortable
7.8,1,lion
7.8,1,academy
7.8,1,bridges
7.8,1,velvet
7.8,1,schiphol
7.8,1,spitalfields
7.8,1,stores
7.7,1,sleek
7.7,1,restaurants
7.7,1,defo
7.7,1,delightfully
7.7,1,neatness
7.7,1,laurent
7.7,1,dreamy
7.7,1,musicians
7.7,1,vitality
7.7,1,locarion
7.7,1,cour
7.7,1,tetuan
7.7,1,nicholas
7.7,1,lovly
7.7,1,monsieur
7.7,1,fiendly
7.7,1,precinct
7.7,1,comfortabe
7.7,1,timeless
7.7,1,prima
7.7,1,ducks
7.7,1,mohamed
7.7,1,jamon
7.7,1,friendlly
7.7,1,eiffeltower
7.7,1,grear
7.7,1,champaign
7.7,1,nostalgic
7.7,1,atms
7.7,1,staion
7.7,1,clerkenwell
7.7,1,esther
7.7,1,selfridges
7.7,1,sculptures
7.7,1,alma
7.7,1,seaside
7.7,1,helen
7.7,1,julie
7.7,1,museumsquartier
7.7,1,budgets
7.7,1,mainline
7.7,1,ville
7.7,1,conscientious
7.6,1,pubs
7.6,1,unlimited
7.6,1,ajax
7.6,1,transports
7.6,1,sincere
7.6,1,equipped
7.6,1,gard
7.6,1,tube
7.6,1,alice
7.6,1,themes
7.6,1,rapid
7.6,1,pianist
7.6,1,catedral
7.6,1,lord
7.6,1,gracious
7.5,1,clouds
7.5,1,south
7.5,1,chatty
7.5,1,hill
7.5,1,fluffy
7.5,1,chic
7.5,1,equiped
7.5,1,cordial
7.5,1,eiffel
7.5,1,fountain
7.4,1,spectacular
7.4,1,reasonably
7.4,1,station
7.4,1,waitrose
7.4,1,sophisticated
7.4,1,tremendous
7.4,1,hotspots
7.4,1,barri
7.4,1,karlsplatz
7.4,1,couer
7.4,1,platz
7.4,1,meticulously
7.4,1,smoothie
7.4,1,louve
7.4,1,adventures
7.4,1,emplacement
7.4,1,favorite
7.4,1,tasty
7.4,1,milano
7.3,1,pleasant
7.3,1,art
7.3,1,smartphone
7.3,1,dandelyan
7.3,1,vincent
7.3,1,intelligent
7.3,1,sangria
7.3,1,acton
7.2,1,thank
7.2,1,styled
7.2,1,knightsbridge
7.2,1,bridge
7.2,1,prime
7.2,1,asset
7.2,1,routes
7.2,1,eifel
7.2,1,pristine
7.2,1,jazz
7.2,1,ken
7.1,1,parks
7.1,1,historic
7.1,1,tower
7.1,1,wembley
7.1,1,views
7.1,1,stratford
7.1,1,boyfriends
7.1,1,authentic
7.0,1,enjoyed
7.0,1,lively
7.0,1,prompt
7.0,1,christian
7.0,1,schwedenplatz
7.0,1,barcelonetta
7.0,1,sttaf
7.0,1,craziness
7.0,1,conceige
7.0,1,christina
7.0,1,gelato
7.0,1,piccadily
7.0,1,flawlessly
7.0,1,undergound
7.0,1,beaumont
7.0,1,torre
7.0,1,restorants
7.0,1,gratitude
7.0,1,dorsett
7.0,1,forecast
7.0,1,dungeons
7.0,1,amicable
7.0,1,blissfully
7.0,1,youthful
7.0,1,magnifique
7.0,1,smartly
7.0,1,kensignton
7.0,1,fortnum
7.0,1,julien
7.0,1,lara
7.0,1,elyse
7.0,1,franklin
