score,sentiment,word
17.4,0,bleach
17.4,0,unnecessarily
17.3,0,tax
17.3,0,indication
17.2,0,presumably
17.2,0,freezing
17.2,0,impossible
17.2,0,flood
17.1,0,climb
17.0,0,beeping
17.0,0,downright
17.0,0,hurting
17.0,0,kicking
17.0,0,thieves
17.0,0,smoky
17.0,0,announcements
17.0,0,suffocating
17.0,0,spill
17.0,0,malfunctioned
17.0,0,irritation
17.0,0,downgrade
17.0,0,advertises
17.0,0,sideways
16.9,0,cigarette
16.8,0,damp
16.8,0,uneven
16.7,0,wobbly
16.7,0,advertising
16.7,0,dull
16.6,0,banged
16.6,0,understaffed
16.6,0,lacked
16.6,0,demanded
16.5,0,banging
16.5,0,depressing
16.4,0,falling
16.4,0,deposit
16.4,0,rundown
16.4,0,unconfortable
16.4,0,ventilation
16.4,0,seal
16.4,0,charged
16.3,0,offhand
16.3,0,sprucing
16.3,0,dismissed
16.3,0,awake
16.3,0,unsympathetic
16.3,0,uninteresting
16.3,0,dumped
16.3,0,contract
16.3,0,substitute
16.3,0,debris
16.3,0,drilling
16.2,0,loose
16.2,0,permanently
16.2,0,generators
16.2,0,drunks
16.1,0,rust
16.1,0,inform
16.1,0,tape
16.1,0,ridiculous
16.0,0,paint
16.0,0,outdated
15.9,0,extortionate
15.9,0,gross
15.9,0,milks
15.9,0,painfully
15.8,0,carpet
15.8,0,operational
15.8,0,grumble
15.8,0,unwelcome
15.8,0,ledge
15.7,0,breaker
15.7,0,embarrassed
15.7,0,clue
15.7,0,hooks
15.7,0,unmade
15.7,0,dilapidated
15.7,0,scraping
15.7,0,spoils
15.7,0,furthest
15.7,0,forcing
15.7,0,sarcastic
15.7,0,wonky
15.7,0,deposits
15.7,0,implied
15.7,0,knees
15.6,0,disinterested
15.6,0,wires
15.6,0,stiff
15.5,0,occupant
15.5,0,creaky
15.5,0,trays
15.4,0,plugged
15.4,0,builders
15.4,0,questioned
15.4,0,abrupt
15.4,0,cctv
15.4,0,hoover
15.4,0,distracting
15.4,0,correspond
15.4,0,trickle
15.4,0,gloomy
15.4,0,surly
15.3,0,properly
15.3,0,sucks
15.3,0,mats
15.2,0,knife
15.2,0,explanation
15.2,0,leaking
15.1,0,confusing
15.1,0,tricky
15.1,0,unbearable
15.1,0,nobody
15.1,0,excessive
15.0,0,spoons
15.0,0,laminate
15.0,0,criticise
15.0,0,allegedly
15.0,0,pages
15.0,0,slide
15.0,0,transaction
15.0,0,bricks
15.0,0,disgustingly
15.0,0,reminders
15.0,0,saucer
15.0,0,stared
15.0,0,misrepresented
15.0,0,amiss
15.0,0,soggy
15.0,0,billed
15.0,0,beg
15.0,0,airless
15.0,0,failing
15.0,0,disable
15.0,0,causes
15.0,0,unattended
14.9,0,lying
14.9,0,noisey
14.9,0,inefficient
14.8,0,embarrassing
14.8,0,overheated
14.8,0,ugly
14.7,0,manually
14.7,0,radiators
14.7,0,surfaces
14.6,0,aggressive
14.6,0,niggle
14.6,0,bugs
14.6,0,accounts
14.6,0,fiddly
14.6,0,replacing
14.6,0,causing
14.6,0,sloppy
14.5,0,impolite
14.5,0,ripped
14.5,0,stank
14.5,0,draught
14.5,0,pathetic
14.4,0,insisting
14.4,0,dial
14.4,0,resulting
14.4,0,scaffolding
14.3,0,scum
14.3,0,reversed
14.3,0,detector
14.3,0,bumpy
14.3,0,bruised
14.3,0,flickered
14.3,0,dragged
14.3,0,washed
14.3,0,colder
14.2,0,coughing
14.2,0,receipt
14.2,0,shabby
14.1,0,disrespectful
14.1,0,celsius
14.1,0,hum
14.1,0,draft
14.1,0,bills
14.1,0,evidence
14.0,0,strange
13.9,0,uncomfortably
13.9,0,shave
13.9,0,sloping
13.9,0,limescale
13.9,0,sensor
13.8,0,claimed
13.8,0,nowhere
13.8,0,disconcerting
13.8,0,reconnect
13.8,0,moves
13.8,0,unimpressed
13.8,0,ladder
13.8,0,evacuate
13.8,0,splashed
13.8,0,overflowing
13.8,0,nasty
13.8,0,nightmare
13.7,0,queried
13.7,0,urgency
13.7,0,verify
13.7,0,ventilate
13.7,0,barking
13.7,0,argumentative
13.7,0,disappointingly
13.7,0,incur
13.7,0,rash
13.7,0,chewy
13.7,0,stiflingly
13.7,0,sunken
13.7,0,microscopic
13.7,0,lacklustre
13.7,0,rien
13.7,0,crashed
13.7,0,misrepresentation
13.6,0,code
13.6,0,replace
13.6,0,gripe
13.6,0,disgusting
13.6,0,rug
13.6,0,overflow
13.6,0,wipe
13.6,0,authorization
13.6,0,shallow
13.6,0,unfinished
13.5,0,uninspiring
13.5,0,stingy
13.5,0,interrupted
13.5,0,tear
13.5,0,redecoration
13.4,0,barely
13.4,0,extract
13.4,0,wink
13.4,0,froze
13.4,0,destroyed
13.4,0,obstructed
13.4,0,floods
13.4,0,claustrophobic
13.4,0,lied
13.4,0,scared
13.4,0,luke
13.3,0,ruined
13.3,0,confirmation
13.3,0,mixer
13.3,0,slippy
13.3,0,cleared
13.3,0,activated
13.3,0,lacks
13.2,0,waits
13.2,0,proceeded
13.2,0,force
13.2,0,drawers
13.2,0,released
13.2,0,unit
13.0,0,constant
13.0,0,hazardous
13.0,0,detergent
13.0,0,burned
13.0,0,clamber
13.0,0,challenged
13.0,0,offended
13.0,0,tendency
13.0,0,stir
13.0,0,yuck
13.0,0,disconnects
13.0,0,purposely
13.0,0,oddly
13.0,0,occurrence
13.0,0,dependent
13.0,0,silicone
13.0,0,logic
13.0,0,miraculously
13.0,0,creeky
13.0,0,suck
13.0,0,renewal
13.0,0,mouse
13.0,0,backache
13.0,0,revellers
13.0,0,poo
12.9,0,curtain
12.9,0,burnt
12.8,0,release
12.8,0,disgraceful
12.8,0,pushed
12.8,0,terrible
12.8,0,washbasin
12.7,0,leakage
12.7,0,annoyance
12.7,0,tlc
12.7,0,vents
12.7,0,tissues
12.6,0,sparse
12.6,0,cnn
12.6,0,exorbitant
12.6,0,unavoidable
12.6,0,maneuver
12.6,0,rugs
12.6,0,labyrinth
12.6,0,stinks
12.6,0,restock
12.6,0,faint
12.6,0,processed
12.6,0,claims
12.5,0,frozen
12.5,0,showering
12.5,0,noisy
12.5,0,apology
12.4,0,splashing
12.4,0,trapped
12.4,0,issued
12.4,0,unable
12.3,0,watery
12.3,0,coat
12.3,0,plaster
12.3,0,damper
12.3,0,questioning
12.3,0,horrified
12.3,0,dissappointed
12.3,0,patched
12.3,0,pipework
12.3,0,pungent
12.3,0,bummer
12.3,0,misinformation
12.3,0,adverse
12.3,0,shattered
12.3,0,footstep
12.3,0,inevitably
12.3,0,approval
12.3,0,constructive
12.3,0,waist
12.3,0,stairways
12.3,0,interrupting
12.3,0,stomping
12.3,0,digging
12.3,0,horrendously
12.3,0,pints
12.3,0,crane
12.3,0,horns
12.3,0,wedged
12.3,0,regulations
12.3,0,proportion
12.3,0,bodied
12.3,0,insist
12.2,0,caused
12.2,0,false
12.2,0,steep
12.2,0,identify
12.2,0,emptying
12.2,0,racist
12.2,0,appalled
12.2,0,vacuum
12.1,0,wrongly
12.1,0,randomly
12.1,0,crawl
12.1,0,sloped
12.1,0,shuts
12.1,0,reported
12.1,0,leaks
12.1,0,apparently
12.1,0,apologize
12.1,0,unclear
12.1,0,walls
12.1,0,somebody
12.1,0,warning
12.1,0,units
12.0,0,alarm
12.0,0,messy
11.9,0,attempts
11.9,0,occupants
11.9,0,removing
11.9,0,coats
11.9,0,grim
11.9,0,strict
11.9,0,unloading
11.9,0,unlocked
11.9,0,lifting
11.8,0,floorboards
11.8,0,mess
11.8,0,chasing
11.8,0,sunk
11.8,0,tiles
11.8,0,arrogant
11.7,0,complicated
11.7,0,worst
11.7,0,rubbery
11.7,0,noicy
11.7,0,overbooking
11.7,0,dribbled
11.7,0,reheated
11.7,0,inexperienced
11.7,0,reflective
11.7,0,handrails
11.7,0,shambolic
11.7,0,freshener
11.7,0,engines
11.7,0,periodically
11.7,0,drugs
11.7,0,shrug
11.7,0,triggered
11.7,0,unkind
11.7,0,cement
11.7,0,cheat
11.7,0,removal
11.7,0,defect
11.7,0,sentence
11.7,0,disrepair
11.7,0,upsell
11.7,0,verging
11.7,0,wedge
11.7,0,negotiation
11.7,0,existant
11.7,0,torture
11.7,0,creak
11.7,0,explanations
11.7,0,bruises
11.7,0,unnerving
11.7,0,overused
11.6,0,updating
11.6,0,repeatedly
11.6,0,shelf
11.6,0,difficult
11.6,0,trek
11.6,0,waste
11.6,0,vacuuming
11.6,0,install
11.6,0,shoulder
11.6,0,awful
11.5,0,frames
11.5,0,joke
11.5,0,insisted
11.5,0,alarms
11.5,0,repaired
11.4,0,laughed
11.4,0,conversations
11.4,0,lorries
11.4,0,bleak
11.4,0,sullen
11.4,0,spraying
11.4,0,scarce
11.4,0,faulty
11.3,0,sink
11.3,0,worse
11.3,0,constructions
11.3,0,pressing
11.3,0,represent
11.2,0,payment
11.2,0,disturbing
11.2,0,handles
11.2,0,homeless
11.2,0,repeated
11.2,0,rubbish
11.2,0,flooding
11.2,0,carpets
11.2,0,broom
11.1,0,neck
11.1,0,technician
11.1,0,facelift
11.1,0,lowest
11.1,0,blocking
11.1,0,cope
11.0,0,weird
11.0,0,happened
11.0,0,blame
11.0,0,painful
11.0,0,report
11.0,0,negotiate
11.0,0,refurbish
11.0,0,dustbin
11.0,0,overweight
11.0,0,distressed
11.0,0,sneezing
11.0,0,uncooked
11.0,0,demolition
11.0,0,stretched
11.0,0,fuse
11.0,0,congealed
11.0,0,materialised
11.0,0,overdrawn
11.0,0,ref
11.0,0,duct
11.0,0,springy
11.0,0,blank
11.0,0,trading
11.0,0,congregate
11.0,0,elbows
11.0,0,insistence
11.0,0,nosy
11.0,0,contractors
11.0,0,confined
11.0,0,drip
11.0,0,patronising
11.0,0,meagre
11.0,0,rats
11.0,0,cramp
11.0,0,frustration
11.0,0,toes
11.0,0,grimy
11.0,0,refund
10.9,0,blocked
10.9,0,regulate
10.9,0,advertise
10.9,0,switch
10.9,0,apologized
10.9,0,cups
10.8,0,clueless
10.8,0,questionable
10.8,0,lessons
10.7,0,saggy
10.7,0,spider
10.7,0,insulting
10.7,0,renew
10.7,0,socks
10.7,0,luckily
10.7,0,boiling
10.7,0,hazard
10.7,0,failed
10.6,0,narrow
10.6,0,instruction
10.6,0,expenses
10.6,0,annoyed
10.6,0,brush
10.6,0,garbage
10.6,0,poorest
10.6,0,troublesome
10.6,0,elbow
10.6,0,sill
10.6,0,crawling
10.6,0,irregular
10.6,0,rudest
10.6,0,freeze
10.6,0,scuff
10.6,0,threatened
10.6,0,chaotic
10.6,0,adjusting
10.6,0,physically
10.6,0,mildew
10.5,0,shut
10.5,0,paper
10.5,0,pipe
10.5,0,metal
10.5,0,thermostat
10.5,0,shocking
10.5,0,bare
10.5,0,wasted
10.5,0,faucet
10.5,0,challenge
10.4,0,sewerage
10.4,0,vastly
10.4,0,slanted
10.4,0,fresher
10.4,0,desperately
10.4,0,payments
10.4,0,apologise
10.4,0,sheet
10.4,0,overpriced
10.4,0,turning
10.4,0,laughing
10.4,0,slipper
10.4,0,blowing
10.3,0,miserable
10.3,0,lid
10.3,0,squeak
10.3,0,refunds
10.3,0,lumps
10.3,0,interrupt
10.3,0,vain
10.3,0,lamps
10.3,0,fluffier
10.3,0,excluded
10.3,0,tainted
10.3,0,wierd
10.3,0,enters
10.3,0,shield
10.3,0,starving
10.3,0,clostrophobic
10.3,0,ripoff
10.3,0,sync
10.3,0,unimaginative
10.3,0,handbasin
10.3,0,tinier
10.3,0,lampshades
10.3,0,cranes
10.3,0,lettuce
10.3,0,nerve
10.3,0,elavator
10.3,0,condom
10.3,0,dated
10.3,0,confirmed
10.3,0,radiator
10.3,0,drunk
10.3,0,bill
10.3,0,notification
10.3,0,bitter
10.3,0,overcooked
10.3,0,doesnt
10.3,0,invoice
10.2,0,electrics
10.2,0,paintwork
10.2,0,disgusted
10.2,0,told
10.2,0,indifferent
10.2,0,headboard
10.2,0,classified
10.2,0,vans
10.2,0,insurance
10.2,0,scuffs
